1787958517.369 >>> HELLO
1787958517.391 device NEZHA2 robot vevov 1198504156
1787958518.399 >>> VER
1787958518.411 ver 0.20260827.2
1787958519.419 >>> STATUS
1787958519.444 status ready=0 active=0 connL=0 connR=0 otos=1 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787958520.449 >>> GET max_duty #1
1787958520.467 ack 1 0 none
1787958520.467 get max_duty 100.000008
1787958521.472 >>> GET full_duty_velocity #2
1787958521.490 ack 2 0 none
1787958521.492 get full_duty_velocity 10795.000977
1787958522.500 >>> GET pid_kp #3
1787958522.515 ack 3 0 none
1787958522.515 get pid_kp 0.000000
1787958523.522 >>> GET pid_ki #4
1787958523.541 ack 4 0 none
1787958523.541 get pid_ki 6.000000
1787958524.548 >>> GET pid_i_max #5
1787958524.563 ack 5 0 none
1787958524.563 get pid_i_max 765.600037
1787958525.567 >>> GET pid_max #6
1787958525.579 ack 6 0 none
1787958525.579 get pid_max 1276.000000
1787958526.591 >>> GET twist_hold_gain #7
1787958526.611 ack 7 0 none
1787958526.611 get twist_hold_gain 2.000000
1787958527.619 >>> TLM FULL #8
1787958527.637 ack 8 0 none
1787958527.675 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958536.156 t 11 360243 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.281 t 12 360299 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.281 t 13 360355 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.330 t 14 360411 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.382 t 15 360467 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.438 t 16 360523 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.493 t 17 360579 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.551 t 18 360635 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.604 t 19 360691 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.662 t 20 360747 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.713 >>> STATUS
1787958536.716 t 21 360803 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.735 status ready=1 active=1 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=0 cyc=146 tlm=full next=11 done=10 reason=timeout
1787958536.773 t 22 360859 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.828 t 23 360916 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.892 t 24 360971 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.958 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958536.958 t 25 361027 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.995 t 26 361079 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.048 t 27 361135 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.106 t 28 361191 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.163 t 29 361247 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.217 t 30 361303 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.275 t 31 361359 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.330 t 32 361415 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.384 t 33 361471 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.440 t 34 361527 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.503 t 35 361583 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.554 t 36 361639 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.611 t 37 361696 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958537.674 t 38 361751 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.780 t 39 361807 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.781 t 40 361863 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 t 41 361919 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 t 42 361975 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 t 43 362031 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958538.782 t 44 362087 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 t 45 362139 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958538.782 t 46 362195 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
