1788576579.551 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576579.782 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576580.020 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576580.245 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576580.481 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576580.719 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576580.949 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576581.176 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576581.405 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576581.638 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576581.861 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576582.108 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576582.343 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576582.576 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576582.751 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576582.999 ack 9 8 stop
1788576582.999 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=276 tlm=off next=10 done=8 reason=stop
1788576583.234 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=286 tlm=off next=10 done=8 reason=stop
1788576583.486 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576583.712 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576583.946 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576584.181 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576584.410 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576584.636 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576584.874 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576585.111 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576585.345 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576585.567 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576585.796 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576586.049 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576586.274 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576586.504 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576586.729 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576586.968 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576587.196 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576587.426 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576587.792 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
1788576587.792 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=34 cyc=298 tlm=off next=10 done=9 reason=stop
