RUN:clearestop -> ESTOP:cleared
STATUS pre: status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=118 cyc=5966 tlm=off next=1 done=10 reason=timeout
GET accel -> ack 1 10 timeout
--- rep 1: pose before (19.05,-5.28,48.45) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 2 10 timeout
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 81 3430599 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 82 3430655 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 83 3430707 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 84 3430763 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 85 3430819 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 86 3430875 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 87 3430931 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 88 3430987 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 89 3431043 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 90 3431099 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 91 3431155 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 92 3431211 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 93 3431267 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
t 94 3431323 31 -95 -134 104858 151 34 8925 0 0 130 6449 -15931 11936 0 0 0 0 0
