1787956325.340 >>> HELLO
1787956325.355 device NEZHA2 robot gopiv 2175407711
1787956326.360 >>> GET max_duty #1
1787956326.380 ack 1 4 timeout
1787956326.380 get max_duty 100.000008
1787956327.385 >>> GET full_duty_velocity #2
1787956327.405 ack 2 4 timeout
1787956327.408 get full_duty_velocity 10795.000977
1787956328.413 >>> GET pid_ki #3
1787956328.426 ack 3 4 timeout
1787956328.428 get pid_ki 6.000000
1787956329.432 >>> GET pid_i_max #4
1787956329.446 ack 4 4 timeout
1787956329.446 get pid_i_max 765.600037
1787956330.530 >>> GET pid_kp #5
1787956330.547 ack 5 4 timeout
1787956330.548 get pid_kp 0.000000
1787956331.582 >>> GET pid_kaff #6
1787956331.602 ack 6 4 timeout
1787956331.602 err 1 #6
1787956332.619 >>> GET pid_max #7
1787956332.639 ack 7 4 timeout
1787956332.639 get pid_max 1276.000000
1787956333.657 >>> GET twist_hold_gain #8
1787956333.679 ack 8 4 timeout
1787956333.679 get twist_hold_gain 2.000000
1787956334.682 >>> TLM FULL #9
1787956334.701 ack 9 4 timeout
1787956334.705 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956340.214 t 44 1011087 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.269 t 45 1011139 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.319 t 46 1011191 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.371 t 47 1011243 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.423 t 48 1011295 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.474 t 49 1011347 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.542 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956340.542 t 50 1011399 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 51 1011451 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 52 1011503 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 53 1011555 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 54 1011607 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 55 1011659 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 56 1011711 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 57 1011763 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 58 1011815 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 59 1011867 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.073 t 60 1011919 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.097 t 61 1011971 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.153 t 62 1012023 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.201 t 63 1012075 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.256 t 64 1012127 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.307 t 65 1012179 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956341.362 t 66 1012231 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
